"Name","Delay(1/60)","Column","Row"
"idle","5","0","0"
"talk","23","1","0"
"talk","23","2","0"
"talk","23","3","0"
"talk","23","4","0"
"introduction_talk","23","5","0"
"introduction_talk","23","6","0"
"introduction_talk","23","7","0"
"introduction_talk","23","8","0"
"introduction_talk","23","9","0"
"introduction_talk","23","0","1"
"introduction_talk","23","1","1"
"introduction_talk","23","2","1"
"swing_wood","23","3","1"
"swing_wood","23","4","1"
"idle_putter","25","5","1"
"idle_putter","25","6","1"
"idle_wood","25","7","1"
"idle_wood","25","8","1"
"talk_wood","25","9","1"
"talk_wood","25","0","2"
"talk_putter","25","1","2"
"talk_putter","25","2","2"
"swing_putter","25","3","2"
"Copy_swing_putter","25","4","2"
"swing_putter","25","5","2"
